file_name,#timeframe,#clause,#total_calls,#ctg,result,time
139442p0.aig,4,11,618,19,HOLDS,0.19
139443p0.aig,4,9,600,12,HOLDS,0.31
139444p0.aig,4,4,622,8,HOLDS,0.47
139454p0.aig,4,12,|1,069|,33,HOLDS,1.16
139463p0.aig,5,31,|1,338|,54,HOLDS,1.57
6s100.aig,NA,NA,NA,NA,NA,timeout
6s102.aig,NA,NA,NA,NA,NA,timeout
6s105.aig,NA,NA,NA,NA,NA,timeout
6s108.aig,13,2150,|68,268|,5514,HOLDS,68.92
6s10.aig,NA,NA,NA,NA,NA,timeout
6s119.aig,NA,NA,NA,NA,NA,timeout
6s120.aig,4,95,|1,909|,217,HOLDS,0.76
6s122.aig,NA,NA,NA,NA,NA,timeout
6s12.aig,NA,NA,NA,NA,NA,timeout
6s131.aig,8,2976,|99,486|,15432,HOLDS,207.56
6s13.aig,NA,NA,NA,NA,NA,timeout
6s147.aig,NA,NA,NA,NA,NA,timeout
6s148.aig,NA,NA,NA,NA,NA,timeout
6s149.aig,NA,NA,NA,NA,NA,timeout
6s151.aig,NA,NA,NA,NA,NA,timeout
6s159.aig,6,26,582,42,HOLDS,0.08
6s160.aig,NA,NA,NA,NA,NA,timeout
6s161.aig,NA,NA,NA,NA,NA,timeout
6s164.aig,45,9606,|416,858|,26709,HOLDS,54.63
6s16.aig,NA,NA,NA,NA,NA,timeout
6s171.aig,NA,NA,NA,NA,NA,timeout
6s173.aig,23,9587,|748,549|,132338,HOLDS,220.80
6s177.aig,NA,NA,NA,NA,NA,timeout
6s179.aig,NA,NA,NA,NA,NA,timeout
6s183.aig,9,5090,|155,187|,19985,HOLDS,194.17
6s184.aig,NA,NA,NA,NA,NA,timeout
6s185.aig,NA,NA,NA,NA,NA,timeout
6s186.aig,NA,NA,NA,NA,NA,timeout
6s187.aig,NA,NA,NA,NA,NA,timeout
6s188.aig,NA,NA,NA,NA,NA,timeout
6s190.aig,NA,NA,NA,NA,NA,timeout
6s194.aig,NA,NA,NA,NA,NA,timeout
6s195.aig,NA,NA,NA,NA,NA,timeout
6s198.aig,NA,NA,NA,NA,NA,timeout
6s202b00.aig,NA,NA,NA,NA,NA,timeout
6s203b41.aig,NA,NA,NA,NA,NA,timeout
6s204b19.aig,10,663,|16,224|,930,HOLDS,242.23
6s206rb025.aig,8,4,213,14,HOLDS,10.05
6s20.aig,NA,NA,NA,NA,NA,timeout
6s22.aig,NA,NA,NA,NA,NA,timeout
6s23.aig,NA,NA,NA,NA,NA,timeout
6s24.aig,NA,NA,NA,NA,NA,timeout
6s266rb2.aig,NA,NA,NA,NA,NA,timeout
6s267rb3.aig,NA,NA,NA,NA,NA,timeout
6s268r.aig,NA,NA,NA,NA,NA,timeout
6s271rb045.aig,6,85,|2,630|,137,HOLDS,45.77
6s271rb079.aig,7,65,|1,366|,134,HOLDS,30.34
6s273b37.aig,14,92,|3,072|,316,HOLDS,24.91
6s274r.aig,NA,NA,NA,NA,NA,timeout
6s276rb342.aig,9,152,|4,995|,612,HOLDS,8.51
6s277rb292.aig,9,166,|5,857|,901,HOLDS,10.30
6s279r.aig,NA,NA,NA,NA,NA,timeout
6s280r.aig,NA,NA,NA,NA,NA,timeout
6s281b35.aig,NA,NA,NA,NA,NA,timeout
6s284rb1.aig,NA,NA,NA,NA,NA,timeout
6s299b685.aig,NA,NA,NA,NA,NA,timeout
6s29.aig,NA,NA,NA,NA,NA,timeout
6s301rb106.aig,NA,NA,NA,NA,NA,timeout
6s306rb03.aig,20,937,|36,481|,1795,HOLDS,98.10
6s307rb09.aig,9,107,|7,930|,270,HOLDS,27.65
6s309b034.aig,NA,NA,NA,NA,NA,timeout
6s309b046.aig,NA,NA,NA,NA,NA,timeout
6s310r.aig,48,76402,|3,796,524|,116013,HOLDS,1690.56
6s317b14.aig,16,1527,|58,999|,3061,HOLDS,22.72
6s31.aig,NA,NA,NA,NA,NA,timeout
